# Channel: Aux3 In
# Width: 25.00 µm
# Height: 25.00 µm
# Value units: V
2.7073	2.74	2.7553	2.7386	2.7552	2.743	2.7494	2.7657	2.7705	2.732	2.7279	2.7551	2.7333	2.7225	2.754	2.7524	2.7611	2.769	2.7247	2.7414	2.7342	2.7497	2.7446	2.7582	2.7151	2.7123	2.7424	2.754	2.7545	2.7428	2.7703	2.7636	2.78	2.7446	2.7468	2.7715	2.7651	2.7568	2.7567	2.7517	2.7043	2.7482	2.7729	2.7712	2.9743	2.9458	2.8124	3.0197	3.1833	3.2663	3.2386	3.2899	3.2446	3.2843	3.2711	3.2313	3.25	3.2645	3.1936	3.0258	2.7175	2.5752	2.8879	2.755	2.7214	2.7123	2.725	2.7136	2.7134	2.7276	2.7489	2.7402	2.7366	2.7296	2.7419	2.7891	2.7689	2.7635	2.7587	2.7533	2.7388	2.8233	2.8656	2.7273	2.6595	2.6012	2.7791	2.7694	2.7335	2.7931	2.7643	2.7406	2.7372	2.7502	2.7452	2.814	2.3966	1.3692	2.2116	2.7336	2.7638	2.7766	2.7741	2.7685	2.7666	2.7916	2.7871	2.7761	2.7664	2.777	2.7664	2.7545	2.7448	2.7576	2.7498	2.8025	3.1121	2.743	3.08	3.2778	3.3067	3.281	3.2645	3.2655	3.2533	3.2721	3.2634	3.255	3.2603	3.3043	3.2777	3.2634	3.2162	2.932	2.4749	2.8248	2.7493	2.7414	2.7405	2.7346	2.7199	2.7325	2.7497	2.7489	2.7612	2.757	2.7641	2.7839	2.7458	2.7449	2.756	2.7499	2.7566	2.7756	2.7545	2.7526	2.7725	2.756	2.7342	2.7407	2.7762	2.8144	2.7575	2.7802	2.7946	2.7963	2.7862	2.7847	2.76	2.787	2.7572	2.7754	2.7948	2.7981	2.7679	2.7818	2.8168	2.7867	2.8223	2.7591	2.7871	2.7867	2.7979	2.7961	2.7746	2.7653	2.7646	2.9208	3.1873	3.1136	3.2265	3.354	3.3046	3.3095	3.2987	3.3025	3.3143	3.2768	3.2579	3.3009	3.2647	3.2706	3.3104	3.2968	3.2701	3.2779	3.1646	2.6521	2.708	2.8068	2.7472	2.7692	2.7329	2.7322	2.7329	2.7565	2.7899	2.792	2.791	2.7862	2.77	2.76	2.8089	2.7682	2.7448	2.7656	2.7738	2.7719	2.7923	2.8238	2.8333	2.842	2.8066	2.8366	2.8554	2.4896	2.0799	1.971	2.3744	2.7433	2.839	2.7879	2.8308	2.8097	2.8342	2.7795	2.7361	2.7968	2.8239	2.8451	2.8344	2.8231	2.8237	2.8172	2.8213	2.831
2.7167	2.7549	2.7511	2.7348	2.7174	2.7308	2.775	2.7764	2.7343	2.7685	2.7679	2.7775	2.7708	2.7664	2.7743	2.7626	2.7805	2.7681	2.746	2.6831	2.7065	2.739	2.7569	2.7678	2.7558	2.7783	2.7805	2.8065	2.7747	2.7493	2.77	2.7493	2.7917	2.7663	2.7873	2.775	2.7505	2.7456	2.7506	2.7356	2.7554	2.7624	2.7585	2.7535	2.7042	2.835	3.1135	2.9368	2.6901	2.861	2.9901	3.0573	3.0817	3.0965	3.0325	2.9465	2.8241	2.6772	2.4506	2.6512	2.9328	2.8132	2.7461	2.7035	2.6406	2.7575	2.7481	2.7298	2.7246	2.7117	2.7119	2.7222	2.7357	2.7358	2.7398	2.7531	2.7695	2.7721	2.7891	2.7797	2.8074	2.7552	2.6919	2.41	2.2623	2.3973	2.6398	2.7688	2.6535	2.3111	2.5173	2.683	2.7617	2.7511	2.7645	2.7465	2.5261	2.4479	2.6291	2.7765	2.801	2.764	2.7234	2.7361	2.7561	2.7552	2.7515	2.7714	2.8193	2.8106	2.7912	2.7972	2.7737	2.6983	2.6823	2.7497	2.7626	3.076	2.9834	2.8982	3.1145	3.2118	3.2771	3.2857	3.2875	3.2923	3.2732	3.268	3.2402	3.238	3.1608	2.9879	2.7571	2.4034	2.8435	2.7424	2.7493	2.7585	2.7462	2.737	2.7614	2.8064	2.7818	2.7588	2.7746	2.7779	2.768	2.7629	2.7691	2.777	2.763	2.8089	2.8153	2.7485	2.7525	2.7423	2.7619	2.7685	2.7853	2.7851	2.7975	2.7999	2.7622	2.796	2.7916	2.7777	2.7733	2.8027	2.8139	2.804	2.7769	2.7879	2.7965	2.8294	2.7974	2.7841	2.7871	2.7824	2.8167	2.8128	2.7716	2.7881	2.8017	2.7837	2.7654	2.7822	2.7955	2.7647	2.9282	3.1813	3.0325	3.2437	3.2899	3.3068	3.3051	3.301	3.3312	3.3229	3.3136	3.3034	3.3117	3.3121	3.3081	3.2953	3.2494	3.103	2.6871	2.7055	2.7878	2.7371	2.7339	2.771	2.7837	2.7791	2.7957	2.7954	2.7907	2.7823	2.737	2.7558	2.7481	2.7705	2.7339	2.8027	2.7901	2.7662	2.7773	2.8014	2.7726	2.7668	2.7676	2.7556	2.7857	2.8279	2.8629	2.6416	2.4798	2.451	2.7166	2.7923	2.8254	2.7832	2.8183	2.8045	2.765	2.825	2.8167	2.7928	2.8174	2.8392	2.8018	2.7934	2.8392	2.8071	2.8215	2.8295
2.7299	2.7236	2.7438	2.7711	2.7513	2.7066	2.7407	2.7486	2.7376	2.7394	2.7315	2.7172	2.7011	2.7292	2.7706	2.76	2.7349	2.7249	2.7394	2.7636	2.7634	2.7561	2.7793	2.7059	2.7091	2.795	2.7638	2.7698	2.7952	2.7941	2.78	2.728	2.749	2.7833	2.7539	2.7442	2.7162	2.7233	2.7338	2.7789	2.7732	2.7552	2.7507	2.7433	2.7619	2.7439	2.7173	2.7914	3.0316	3.2207	3.1564	2.5695	2.44	2.4155	2.5718	2.9462	3.2469	3.1131	2.9872	2.7914	2.7122	2.7331	2.736	2.7322	2.6884	2.7421	2.745	2.7297	2.7297	2.7224	2.7325	2.7546	2.7803	2.7635	2.7471	2.7475	2.7456	2.7532	2.743	2.7286	2.7585	2.6994	2.5169	2.2586	2.1599	2.1963	2.4618	2.6585	2.6989	1.9901	1.7975	2.4236	2.7362	2.7731	2.7701	2.7803	2.7573	2.7638	2.7398	2.7437	2.7677	2.7648	2.7516	2.754	2.7606	2.7643	2.7704	2.7487	2.7803	2.8008	2.7895	2.7748	2.7891	2.7537	2.7255	2.7182	2.7116	2.7424	2.899	3.2141	3.0333	2.5998	2.848	2.9894	3.0168	3.0521	3.0299	3.01	2.9134	2.6873	2.5146	2.5909	2.6228	2.3096	2.5714	2.7372	2.7607	2.7769	2.7731	2.7966	2.8064	2.8096	2.7961	2.7781	2.7794	2.7348	2.7538	2.785	2.8053	2.7638	2.7776	2.7694	2.7686	2.7511	2.7834	2.7679	2.7841	2.7775	2.7848	2.7679	2.8048	2.8122	2.8031	2.7749	2.8166	2.8278	2.8274	2.7454	2.7687	2.8004	2.7918	2.8155	2.8105	2.7618	2.7699	2.8133	2.8312	2.8068	2.8029	2.7821	2.8237	2.8404	2.8077	2.788	2.8211	2.7837	2.7881	2.7865	2.7976	3.0199	3.2439	2.8542	2.8495	3.1842	3.2643	3.3068	3.3121	3.3169	3.2961	3.3371	3.2895	3.2718	3.2467	3.1093	2.8095	2.52	2.9378	2.8724	2.7523	2.7373	2.7946	2.7961	2.783	2.8203	2.798	2.7971	2.7998	2.7757	2.7942	2.7814	2.8463	2.8147	2.838	2.8161	2.7788	2.8097	2.8191	2.7711	2.826	2.8656	2.8772	2.8076	2.8522	2.8281	2.8401	2.839	2.7426	2.8862	2.8318	2.8085	2.8215	2.8322	2.8055	2.804	2.8167	2.8508	2.8617	2.8272	2.8308	2.8441	2.8246	2.8194	2.8344	2.8359	2.8302	2.8309
2.7708	2.7539	2.7722	2.7734	2.7245	2.7189	2.7609	2.7899	2.7398	2.7398	2.7821	2.8061	2.7542	2.779	2.765	2.7587	2.7963	2.777	2.7515	2.7476	2.7517	2.745	2.7468	2.7945	2.7995	2.7703	2.7462	2.7694	2.7616	2.7499	2.7763	2.7577	2.7588	2.7789	2.7687	2.7746	2.7775	2.776	2.8152	2.7912	2.7734	2.773	2.7635	2.7631	2.7388	2.7272	2.7392	2.719	2.7098	2.7302	2.7537	2.8318	2.8462	2.8642	2.8239	2.8075	2.761	2.7533	2.7225	2.7263	2.7478	2.7383	2.6967	2.718	2.7462	2.7689	2.7462	2.7646	2.7425	2.7495	2.7442	2.7832	2.7613	2.777	2.752	2.7824	2.758	2.7649	2.7495	2.7921	2.7709	2.7762	2.4912	2.4419	2.3145	2.4232	2.5683	2.7355	2.7102	2.2628	1.8597	2.5829	2.7691	2.8029	2.7926	2.7498	2.7375	2.7754	2.7839	2.7511	2.7885	2.796	2.7839	2.7733	2.7649	2.7988	2.7884	2.7767	2.7468	2.7445	2.7655	2.7585	2.7753	2.7996	2.769	2.7589	2.761	2.7384	2.7602	2.767	2.8559	3.0735	3.2671	3.3897	2.9079	2.6807	2.8209	2.8605	2.9477	3.2413	2.962	2.8244	2.8258	2.8113	2.7614	2.7428	2.7703	2.7318	2.7346	2.741	2.7856	2.7997	2.7249	2.7306	2.7445	2.8129	2.7358	2.7601	2.7561	2.7806	2.7916	2.7855	2.7726	2.8175	2.7539	2.8073	2.826	2.8144	2.7639	2.7514	2.7511	2.7912	2.8127	2.8173	2.7938	2.7625	2.7641	2.7722	2.7991	2.7804	2.7767	2.7607	2.7846	2.8233	2.8037	2.811	2.8082	2.7687	2.781	2.811	2.7928	2.7849	2.7777	2.8039	2.7788	2.7673	2.7773	2.7815	2.7633	2.7903	2.8151	3.1037	3.2931	2.7537	2.7552	2.8931	2.9725	3.0723	3.0524	2.9698	2.8884	2.7815	2.5299	2.5401	2.9703	3.0311	2.7741	2.7351	2.7707	2.7478	2.7893	2.7778	2.7551	2.8112	2.7826	2.7795	2.768	2.825	2.8109	2.8063	2.8051	2.8323	2.7877	2.8356	2.8343	2.7999	2.78	2.7631	2.7571	2.7316	2.5742	2.7677	2.8192	2.8002	2.7817	2.8212	2.8116	2.834	2.7941	2.79	2.8267	2.8277	2.8149	2.8174	2.7895	2.834	2.8138	2.7925	2.8017	2.8354	2.8443	2.8298	2.8109	2.795	2.7721	2.8148
2.7819	2.7778	2.7723	2.7603	2.7505	2.7636	2.7613	2.7705	2.7763	2.7951	2.7504	2.7245	2.6952	2.7392	2.7469	2.7499	2.7411	2.7627	2.7505	2.7581	2.7611	2.7788	2.7647	2.7733	2.7691	2.7796	2.7825	2.7779	2.7709	2.7594	2.7924	2.7567	2.7427	2.7692	2.7434	2.7584	2.7726	2.7818	2.7887	2.7732	2.7528	2.7515	2.7691	2.7731	2.7723	2.7334	2.7181	2.7402	2.7384	2.7072	2.7185	2.6986	2.671	2.7222	2.73	2.718	2.7221	2.7334	2.7353	2.7126	2.7073	2.7549	2.7627	2.7448	2.7719	2.7464	2.7437	2.7541	2.7513	2.7713	2.7646	2.7626	2.7145	2.7533	2.7858	2.7872	2.7438	2.7287	2.7569	2.7631	2.7331	2.7423	2.7461	2.7457	2.5221	2.7118	2.7792	2.7675	2.7806	2.8228	2.715	2.7291	2.763	2.7652	2.7709	2.7845	2.7581	2.7275	2.7922	2.798	2.8024	2.7713	2.7682	2.7391	2.7637	2.7429	2.7171	2.7875	2.829	2.7721	2.7473	2.804	2.7923	2.7562	2.7686	2.7939	2.7701	2.7792	2.7361	2.77	2.7614	2.7648	2.7594	2.7899	2.8361	2.8741	2.8264	2.8254	2.803	2.7699	2.7727	2.7596	2.7407	2.7345	2.732	2.7397	2.7284	2.7452	2.7312	2.7347	2.7703	2.7866	2.7568	2.7728	2.7737	2.7554	2.7814	2.7712	2.7806	2.7826	2.7793	2.7994	2.7834	2.769	2.8053	2.8019	2.7843	2.7988	2.811	2.7882	2.7904	2.8047	2.7807	2.7852	2.7872	2.8076	2.8183	2.7728	2.7792	2.7806	2.7841	2.8299	2.7973	2.7925	2.7748	2.777	2.798	2.8182	2.8043	2.7942	2.7891	2.7894	2.8044	2.8064	2.7726	2.7575	2.7678	2.8032	2.808	2.7732	2.7681	2.7377	2.7734	2.8907	3.0662	3.2663	3.3882	3.2702	3.2179	3.3664	3.3344	3.2302	3.0356	2.8959	2.8219	2.7572	2.7542	2.7956	2.7509	2.7604	2.7749	2.7889	2.7848	2.7375	2.7813	2.8053	2.8101	2.7931	2.7822	2.8005	2.8258	2.8061	2.8132	2.7832	2.7696	2.7659	2.7999	2.818	2.8195	2.8421	2.6334	2.5011	2.7649	2.8073	2.7807	2.7909	2.8071	2.7997	2.8348	2.8165	2.8036	2.8389	2.7862	2.821	2.8272	2.8019	2.8061	2.8388	2.8422	2.8291	2.838	2.8467	2.8498	2.8156	2.8497	2.8494
2.7751	2.748	2.7214	2.7334	2.7916	2.7648	2.7759	2.7504	2.7523	2.7598	2.7651	2.7823	2.7315	2.7519	2.7985	2.7571	2.7622	2.772	2.7405	2.7583	2.7541	2.7463	2.766	2.7759	2.7862	2.7455	2.7709	2.8008	2.7904	2.7865	2.7862	2.7954	2.7968	2.7634	2.7912	2.7868	2.7292	2.7698	2.7817	2.7661	2.765	2.744	2.7768	2.7664	2.7304	2.7262	2.761	2.7365	2.7438	2.7113	2.7419	2.7527	2.7193	2.7548	2.7219	2.7248	2.7499	2.7292	2.732	2.6995	2.7345	2.7435	2.7738	2.7298	2.7053	2.6798	2.7131	2.756	2.7788	2.7505	2.799	2.7348	2.7476	2.7847	2.7963	2.7602	2.7566	2.7591	2.7732	2.8018	2.7563	2.7871	2.8067	2.8051	2.7969	2.759	2.7591	2.7534	2.7725	2.8052	2.7934	2.8094	2.774	2.7369	2.7667	2.7421	2.7538	2.7694	2.6435	2.72	2.7589	2.806	2.7666	2.7994	2.7961	2.7754	2.7727	2.8052	2.7644	2.8281	2.8068	2.7965	2.7864	2.7303	2.7494	2.7702	2.779	2.7754	2.7725	2.7172	2.7758	2.7478	2.7987	2.7296	2.7539	2.7379	2.7534	2.7788	2.759	2.7606	2.7358	2.7279	2.7443	2.7395	2.7904	2.7924	2.6512	2.758	2.7599	2.7531	2.7739	2.7838	2.7758	2.7958	2.7739	2.7455	2.7797	2.7569	2.7626	2.7898	2.7922	2.7521	2.7678	2.8015	2.8498	2.7155	2.8274	2.8049	2.8288	2.8264	2.806	2.8063	2.8144	2.8312	2.84	2.812	2.8262	2.778	2.7309	2.7391	2.7902	2.8088	2.7686	2.7734	2.8027	2.8131	2.8113	2.7981	2.8124	2.7929	2.7742	2.8094	2.82	2.7751	2.832	2.8083	2.7907	2.7877	2.7542	2.7675	2.7634	2.7734	2.7829	2.7229	2.775	2.791	2.8091	2.8042	2.8095	2.7905	2.7559	2.8163	2.7876	2.7855	2.7811	2.7751	2.779	2.7874	2.7939	2.7638	2.7652	2.7599	2.7551	2.7879	2.7561	2.7535	2.7927	2.8007	2.7769	2.7515	2.7674	2.8032	2.7731	2.7968	2.8275	2.7924	2.8151	2.8024	2.8128	2.8025	2.8559	2.8344	2.7659	2.8277	2.8293	2.8172	2.8209	2.8026	2.8111	2.798	2.7984	2.8021	2.8226	2.8039	2.7996	2.7894	2.8121	2.8539	2.8481	2.8279	2.8044	2.7806	2.826	2.8236	2.8199	2.8022
2.7313	2.763	2.7608	2.7607	2.7629	2.7461	2.7271	2.7501	2.7734	2.7734	2.7653	2.774	2.7716	2.7329	2.713	2.7036	2.7157	2.7343	2.7541	2.7308	2.7644	2.7408	2.7286	2.7753	2.7669	2.714	2.7343	2.7425	2.7418	2.745	2.765	2.7544	2.7705	2.8006	2.786	2.7845	2.7584	2.761	2.7715	2.7662	2.7304	2.7113	2.7958	2.765	2.7705	2.7588	2.7902	2.7738	2.7431	2.7664	2.7624	2.7639	2.7566	2.7485	2.7348	2.7554	2.7434	2.7628	2.7808	2.7458	2.7083	2.6917	2.7577	2.7525	2.7573	2.7744	2.7481	2.7418	2.7855	2.7908	2.7684	2.7862	2.7723	2.7883	2.7312	2.7712	2.7971	2.7999	2.778	2.692	2.6788	2.7752	2.7759	2.7973	2.807	2.8821	3.0546	2.9321	2.7973	2.7894	2.7642	2.7592	2.7601	2.7782	2.7627	2.7528	2.7892	2.7918	2.4511	2.2842	2.7753	2.7948	2.771	2.7742	2.7889	2.7515	2.792	2.7992	2.8021	2.804	2.7922	2.7751	2.7602	2.7604	2.7524	2.7707	2.7392	2.7603	2.7504	2.7447	2.762	2.7523	2.746	2.7514	2.7361	2.7286	2.7416	2.7518	2.7796	2.7326	2.7453	2.7412	2.7588	2.7211	2.7484	2.7299	2.7738	2.7758	2.7692	2.7713	2.7714	2.7832	2.7675	2.7385	2.7389	2.789	2.8179	2.7965	2.8337	2.7708	2.7449	2.7827	2.7672	2.7688	2.7822	2.7796	2.7782	2.7741	2.8148	2.7877	2.781	2.788	2.7966	2.8068	2.7968	2.7935	2.79	2.7888	2.7866	2.7924	2.7874	2.8009	2.8036	2.7963	2.8104	2.7786	2.8352	2.801	2.8127	2.837	2.8226	2.8181	2.766	2.8172	2.7997	2.7929	2.8084	2.801	2.7869	2.8121	2.795	2.7872	2.7743	2.7632	2.7612	2.7642	2.7603	2.7822	2.7522	2.7801	2.7728	2.7705	2.7698	2.7796	2.7878	2.8138	2.8004	2.8133	2.7614	2.7749	2.7991	2.7799	2.7832	2.785	2.7848	2.807	2.8144	2.7954	2.8464	2.7968	2.8227	2.7755	2.7894	2.7856	2.774	2.8036	2.7888	2.8171	2.8379	2.8339	2.781	2.7738	2.7881	2.837	2.8151	2.7805	2.795	2.8077	2.8236	2.8231	2.7704	2.816	2.8433	2.8128	2.8238	2.8227	2.8196	2.8029	2.8287	2.8248	2.8457	2.8593	2.836	2.8537	2.8315	2.8482
2.7519	2.7403	2.7441	2.7664	2.7606	2.7089	2.7406	2.7563	2.7623	2.7502	2.7125	2.72	2.7175	2.755	2.7407	2.776	2.7308	2.7156	2.7631	2.7981	2.7702	2.7673	2.7795	2.7708	2.779	2.7713	2.759	2.7433	2.7536	2.765	2.7792	2.7692	2.7005	2.7738	2.7943	2.7894	2.7746	2.7819	2.7716	2.8015	2.7866	2.78	2.769	2.7589	2.7609	2.795	2.7446	2.7135	2.7397	2.7506	2.7392	2.7595	2.7589	2.7393	2.7098	2.7128	2.6919	2.7276	2.6031	2.3755	2.7396	2.7477	2.7542	2.7621	2.7345	2.7389	2.7523	2.7019	2.7317	2.7905	2.7701	2.8004	2.7995	2.7618	2.743	2.7971	2.7786	2.7894	2.752	2.7547	2.7709	2.7733	2.7529	2.762	2.8476	2.494	2.1859	2.4737	2.5959	2.7727	2.7703	2.7755	2.7694	2.7659	2.7809	2.7543	2.7794	2.789	2.7972	2.8043	2.728	2.7323	2.7688	2.7328	2.7451	2.7435	2.7708	2.7776	2.7956	2.7736	2.7793	2.7773	2.7928	2.7924	2.7677	2.7959	2.7857	2.7435	2.7819	2.7531	2.7493	2.744	2.7776	2.7649	2.7553	2.7648	2.7421	2.7575	2.7782	2.7428	2.7278	2.7322	2.759	2.7615	2.7713	2.7663	2.7606	2.7519	2.7744	2.7934	2.773	2.7726	2.7905	2.78	2.7482	2.697	2.7502	2.7948	2.8137	2.822	2.7889	2.8262	2.7832	2.775	2.7821	2.7898	2.7362	2.7893	2.8045	2.7824	2.7816	2.7577	2.796	2.8203	2.7746	2.8074	2.8225	2.788	2.7837	2.7966	2.7721	2.7793	2.8046	2.7906	2.808	2.7915	2.7868	2.7859	2.7935	2.7959	2.8062	2.8062	2.7874	2.7862	2.8156	2.8059	2.7814	2.7925	2.8138	2.7959	2.8097	2.7952	2.8036	2.8043	2.7871	2.7628	2.7472	2.7344	2.7562	2.7685	2.7843	2.7714	2.7711	2.7512	2.755	2.7635	2.8046	2.8121	2.8027	2.8054	2.7673	2.8204	2.7869	2.7797	2.7823	2.8178	2.7971	2.7867	2.8124	2.7975	2.8145	2.8074	2.806	2.7879	2.8082	2.837	2.8024	2.8092	2.8213	2.723	2.8722	2.8288	2.7573	2.7536	2.7842	2.8064	2.805	2.8104	2.8249	2.8164	2.799	2.763	2.7876	2.7984	2.8102	2.8032	2.8077	2.8329	2.8259	2.7878	2.8613	2.8152	2.8402	2.8577	2.847	2.8553
2.7254	2.7335	2.7667	2.7504	2.7809	2.7578	2.7702	2.7664	2.7301	2.7192	2.8231	2.7703	2.7637	2.7392	2.7442	2.7565	2.734	2.7598	2.7933	2.7449	2.7543	2.7628	2.7756	2.7667	2.7677	2.7641	2.7627	2.7696	2.7538	2.7544	2.8124	2.8074	2.7493	2.8012	2.8003	2.7714	2.7498	2.8201	2.776	2.7893	2.7729	2.7968	2.7839	2.7786	2.7857	2.7593	2.7717	2.7789	2.7791	2.765	2.7577	2.79	2.7592	2.7586	2.7589	2.7472	2.7157	2.757	2.7839	2.7554	2.7737	2.7296	2.7292	2.7301	2.7376	2.7588	2.7891	2.7752	2.7756	2.7632	2.7645	2.7574	2.7824	2.7835	2.7863	2.7973	2.7675	2.7643	2.7572	2.7808	2.7577	2.7424	2.7633	2.7903	2.8377	2.6728	2.2729	2.1709	2.572	2.7411	2.7891	2.7712	2.7726	2.7699	2.8008	2.7595	2.7647	2.7423	2.7492	2.7881	2.7791	2.7514	2.7829	2.7899	2.7672	2.7495	2.799	2.7986	2.7864	2.7749	2.8006	2.7775	2.7561	2.7747	2.8016	2.7464	2.7456	2.7782	2.7783	2.8017	2.7713	2.7717	2.7479	2.785	2.7786	2.7658	2.7717	2.7813	2.7631	2.7706	2.7806	2.7675	2.7489	2.7779	2.7717	2.7503	2.7579	2.7569	2.8248	2.7758	2.7858	2.7762	2.7393	2.7571	2.767	2.7839	2.7792	2.7923	2.774	2.7777	2.7953	2.8215	2.7638	2.7833	2.7492	2.7676	2.7886	2.8073	2.7868	2.7613	2.7475	2.7858	2.7864	2.7939	2.7936	2.7795	2.7919	2.7905	2.7781	2.7763	2.7739	2.8082	2.7732	2.7964	2.8149	2.8296	2.817	2.8032	2.8051	2.7914	2.8067	2.8135	2.7921	2.7775	2.7891	2.7929	2.7789	2.7773	2.7624	2.7789	2.7785	2.7529	2.7663	2.7911	2.7747	2.7659	2.7764	2.7789	2.7354	2.7664	2.7814	2.7836	2.768	2.7672	2.774	2.7602	2.7712	2.7899	2.7897	2.7648	2.75	2.7773	2.7765	2.7456	2.7547	2.7653	2.8104	2.837	2.7499	2.7719	2.7763	2.7847	2.7724	2.7677	2.7563	2.7756	2.7465	2.771	2.789	2.8223	2.7973	2.8066	2.8077	2.813	2.7539	2.7627	2.8011	2.841	2.8057	2.793	2.794	2.8084	2.797	2.7662	2.8276	2.8069	2.8078	2.8018	2.811	2.814	2.629	2.7617	2.7987	2.7994	2.7828	2.8001
2.7709	2.7732	2.7829	2.7669	2.771	2.7314	2.7521	2.7157	2.7416	2.7759	2.7974	2.7449	2.7337	2.7383	2.7256	2.7579	2.7647	2.722	2.7191	2.7227	2.7301	2.7277	2.7261	2.7459	2.7347	2.7169	2.7197	2.7883	2.806	2.8097	2.7644	2.7872	2.7517	2.7629	2.7688	2.7758	2.7829	2.7565	2.7682	2.7576	2.7648	2.7807	2.7431	2.7361	2.7299	2.7596	2.7824	2.7362	2.743	2.8086	2.7679	2.7548	2.7199	2.7132	2.7441	2.7142	2.7409	2.7588	2.7654	2.7303	2.7525	2.7516	2.7622	2.7542	2.7359	2.759	2.7258	2.7387	2.7824	2.7856	2.773	2.7541	2.7512	2.7487	2.7799	2.7651	2.7707	2.7485	2.7646	2.7752	2.7647	2.7693	2.7822	2.7587	2.7305	2.6999	2.4365	2.4837	2.6993	2.7661	2.753	2.7413	2.7656	2.7642	2.7509	2.769	2.7712	2.7545	2.7811	2.7706	2.7979	2.8217	2.8112	2.7652	2.7759	2.7793	2.8191	2.8108	2.7579	2.7754	2.7952	2.77	2.8329	2.7953	2.7719	2.7314	2.7688	2.7973	2.7803	2.7857	2.7573	2.7645	2.7817	2.785	2.7473	2.7965	2.7788	2.7665	2.7348	2.7692	2.7686	2.7636	2.7588	2.7542	2.7883	2.7865	2.7626	2.7328	2.7913	2.7445	2.7508	2.7795	2.7752	2.7601	2.7666	2.8219	2.7691	2.7864	2.7757	2.7487	2.759	2.7707	2.7581	2.7675	2.7875	2.7972	2.7582	2.7667	2.8182	2.802	2.7709	2.7826	2.74	2.7619	2.799	2.8134	2.7969	2.7982	2.7966	2.7543	2.759	2.7941	2.7802	2.7653	2.7684	2.7977	2.7918	2.7876	2.7907	2.756	2.8216	2.7711	2.7748	2.772	2.7702	2.7847	2.7964	2.8032	2.7773	2.7796	2.7691	2.7993	2.781	2.787	2.7865	2.7852	2.7828	2.7668	2.7588	2.793	2.7408	2.7943	2.8333	2.827	2.7789	2.7813	2.7746	2.7715	2.756	2.7948	2.8075	2.8012	2.7857	2.7879	2.7964	2.8209	2.7691	2.7354	2.7798	2.8192	2.7641	2.7922	2.7882	2.8082	2.8224	2.8191	2.8656	2.7958	2.8201	2.806	2.8554	2.8156	2.7949	2.8201	2.8279	2.7875	2.7824	2.811	2.8109	2.7716	2.6286	1.6547	1.8693	2.7357	2.8588	2.8274	2.8088	2.7145	2.7935	2.8312	2.844	2.814	2.8196	2.8382	2.8438	2.8249
